N	rep	n_lines	threshold	chromosome
68810	17	32	0.125	2L
87555	17	32	0.125	2R
102096	17	32	0.125	3L
69574	17	32	0.125	3R
66715	17	32	0.125	X
34506	17	32	0.25	2L
29987	17	32	0.25	2R
29762	17	32	0.25	3L
25195	17	32	0.25	3R
25997	17	32	0.25	X
194725	17	64	0.05	2L
177724	17	64	0.05	2R
204376	17	64	0.05	3L
165630	17	64	0.05	3R
129869	17	64	0.05	X
81635	17	64	0.125	2L
66182	17	64	0.125	2R
93656	17	64	0.125	3L
63089	17	64	0.125	3R
52422	17	64	0.125	X
28812	17	64	0.25	2L
22576	17	64	0.25	2R
32758	17	64	0.25	3L
22472	17	64	0.25	3R
23095	17	64	0.25	X
193875	17	128	0.05	2L
167682	17	128	0.05	2R
205174	17	128	0.05	3L
168637	17	128	0.05	3R
123609	17	128	0.05	X
71070	17	128	0.125	2L
60351	17	128	0.125	2R
79919	17	128	0.125	3L
57453	17	128	0.125	3R
51096	17	128	0.125	X
27106	17	128	0.25	2L
23076	17	128	0.25	2R
29904	17	128	0.25	3L
20276	17	128	0.25	3R
20937	17	128	0.25	X
68879	18	2	0.05	2L
18166	18	2	0.05	2R
34566	18	2	0.05	3L
32653	18	2	0.05	3R
27758	18	2	0.05	X
23510	18	2	0.125	2L
27489	18	2	0.125	2R
31912	18	2	0.125	3L
36090	18	2	0.125	3R
11780	18	2	0.125	X
21319	18	2	0.25	2L
26876	18	2	0.25	2R
25000	18	2	0.25	3L
40832	18	2	0.25	3R
35539	18	2	0.25	X
51320	18	4	0.05	2L
33636	18	4	0.05	2R
66650	18	4	0.05	3L
61686	18	4	0.05	3R
29770	18	4	0.05	X
55980	18	4	0.125	2L
51983	18	4	0.125	2R
99082	18	4	0.125	3L
64438	18	4	0.125	3R
40406	18	4	0.125	X
95012	18	4	0.25	2L
43333	18	4	0.25	2R
67345	18	4	0.25	3L
60766	18	4	0.25	3R
59373	18	4	0.25	X
171223	18	8	0.05	2L
154032	18	8	0.05	2R
152938	18	8	0.05	3L
120881	18	8	0.05	3R
80809	18	8	0.05	X
144863	18	8	0.125	2L
124483	18	8	0.125	2R
114333	18	8	0.125	3L
142211	18	8	0.125	3R
100622	18	8	0.125	X
41831	18	8	0.25	2L
43196	18	8	0.25	2R
38226	18	8	0.25	3L
33949	18	8	0.25	3R
29741	18	8	0.25	X
231851	18	16	0.05	2L
180584	18	16	0.05	2R
206519	18	16	0.05	3L
205637	18	16	0.05	3R
149719	18	16	0.05	X
70918	18	16	0.125	2L
74505	18	16	0.125	2R
109990	18	16	0.125	3L
93762	18	16	0.125	3R
70677	18	16	0.125	X
35570	18	16	0.25	2L
29616	18	16	0.25	2R
45619	18	16	0.25	3L
25701	18	16	0.25	3R
30772	18	16	0.25	X
215455	18	32	0.05	2L
